seed,round,treatment,metric,count,mean,std,standard_error,ci_low,ci_high,file
42,100,daps,partner_gain,1000,0.010171322733163833,0.470474194296832,0.014877700343105895,-0.018988969939323717,0.03933161540565139,seed42_round100_task_vs_daps_1000.json
42,100,daps,opponent_gain,1000,0.01678854978084564,0.4072857129905799,0.012879505114958612,-0.008455280244473236,0.04203237980616452,seed42_round100_task_vs_daps_1000.json
42,100,daps,secrecy_difference,1000,-0.006617227047681809,0.34701638001633023,0.010973621462381419,-0.02812552511394939,0.01489107101858577,seed42_round100_task_vs_daps_1000.json
42,100,dual,partner_gain,1000,-0.012915984958410263,0.4285597177650802,0.013552248215365787,-0.0394783914605272,0.01364642154370668,seed42_round100_task_vs_dual_1000.json
42,100,dual,opponent_gain,1000,-0.016415578454732894,0.4082503721188634,0.012910010315069095,-0.04171919867226832,0.008888041762802532,seed42_round100_task_vs_dual_1000.json
42,100,dual,secrecy_difference,1000,0.003499593496322632,0.3334065210625273,0.010543239933104883,-0.017165156772562938,0.0241643437652082,seed42_round100_task_vs_dual_1000.json
42,100,team,partner_gain,1000,0.1015635894536972,0.4336375011265107,0.013712821824236053,0.07468645867819454,0.12844072022919986,seed42_round100_task_vs_team_1000.json
42,100,team,opponent_gain,1000,0.0944391224682331,0.3970453081812152,0.012555675081361264,0.06982999930876503,0.11904824562770118,seed42_round100_task_vs_team_1000.json
42,100,team,secrecy_difference,1000,0.007124466985464096,0.329708945379369,0.01042631232330855,-0.013311105168220663,0.027560039139148854,seed42_round100_task_vs_team_1000.json
42,120,daps,partner_gain,1000,0.05959002041816711,0.5058551559809232,0.015996544590394644,0.028236793020993613,0.0909432478153406,seed42_round120_task_vs_daps_1000.json
42,120,daps,opponent_gain,1000,0.06596416553854942,0.43094540019412536,0.013627690117862046,0.039253892907539806,0.09267443816955903,seed42_round120_task_vs_daps_1000.json
42,120,daps,secrecy_difference,1000,-0.006374145120382309,0.34771950788457473,0.010995856317881334,-0.027926023503429723,0.015177733262665104,seed42_round120_task_vs_daps_1000.json
42,120,dual,partner_gain,1000,0.03861336606740952,0.46709068830853895,0.014770704489107644,0.009662785268758536,0.0675639468660605,seed42_round120_task_vs_dual_1000.json
42,120,dual,opponent_gain,1000,0.020594925850629806,0.45221147045259197,0.014300182306841248,-0.0074334314707790415,0.04862328317203865,seed42_round120_task_vs_dual_1000.json
42,120,dual,secrecy_difference,1000,0.018018440246582033,0.3352870197289051,0.010602706522331513,-0.002762864537187732,0.0387997450303518,seed42_round120_task_vs_dual_1000.json
42,120,team,partner_gain,1000,0.1719631772339344,0.4701933263630899,0.014868818519182592,0.14282029293633652,0.20110606153153227,seed42_round120_task_vs_team_1000.json
42,120,team,opponent_gain,1000,0.16005420732498168,0.42441779426314746,0.013421269093762907,0.1337485199012064,0.18635989474875697,seed42_round120_task_vs_team_1000.json
42,120,team,secrecy_difference,1000,0.011908969908952714,0.32860207557666726,0.010391310026810563,-0.008457997743595989,0.03227593756150142,seed42_round120_task_vs_team_1000.json
43,100,daps,partner_gain,1000,-0.02221719777584076,0.4717446000016976,0.014917874098904363,-0.051456231009693314,0.007021835458011792,seed43_round100_task_vs_daps_1000.json
43,100,daps,opponent_gain,1000,-0.02299168634414673,0.4353723252588258,0.013767681780215462,-0.04997634263336903,0.003992969945075576,seed43_round100_task_vs_daps_1000.json
43,100,daps,secrecy_difference,1000,0.0007744885683059693,0.3389284212258493,0.010717857748386416,-0.020232512618531408,0.021781489755143345,seed43_round100_task_vs_daps_1000.json
43,100,dual,partner_gain,1000,-0.013295991569757462,0.456975964634576,0.014450848841978151,-0.041619655300034634,0.015027672160519713,seed43_round100_task_vs_dual_1000.json
43,100,dual,opponent_gain,1000,-0.022707598149776458,0.4177010850679742,0.013208868099385467,-0.048596979624571976,0.0031817833250190573,seed43_round100_task_vs_dual_1000.json
43,100,dual,secrecy_difference,1000,0.009411606580018998,0.3181934143287598,0.010062159257445382,-0.01031022556457395,0.029133438724611944,seed43_round100_task_vs_dual_1000.json
