file,model,receiver_time,ece_10_bin,bin_low,bin_high,count,mean_confidence,empirical_frequency
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.0,0.1,245673,0.015628702935652838,0.02517981218937368
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.1,0.2,50983,0.15039995714586302,0.16421159994507972
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.2,0.30000000000000004,71755,0.2550792848922244,0.2647341648665598
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.30000000000000004,0.4,87438,0.3428893612425091,0.3363754889178618
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.4,0.5,25172,0.4406813868674739,0.4086286349912601
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.5,0.6000000000000001,9241,0.5434527926702493,0.5015690942538686
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.6000000000000001,0.7000000000000001,4071,0.6430951511792544,0.582903463522476
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.7000000000000001,0.8,1760,0.7434392975812608,0.6704545454545454
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.8,0.9,790,0.8444107136394404,0.7443037974683544
seed42_round100_task_vs_daps_1000.json,A,partner_before,0.0121263779541219,0.9,1.0,493,0.9451474982633068,0.7991886409736308
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.0,0.1,250168,0.013940040620975107,0.019015221770969908
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.1,0.2,47521,0.1502284452427954,0.15755139832915974
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.2,0.30000000000000004,65432,0.25520075716625756,0.2536067978970534
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.30000000000000004,0.4,80344,0.34360316211590847,0.33315493378472566
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.4,0.5,29732,0.44227194092936234,0.42418942553477734
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.5,0.6000000000000001,12990,0.5437680590327103,0.5183217859892225
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.6000000000000001,0.7000000000000001,6251,0.6436309214783295,0.6127019676851704
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.7000000000000001,0.8,2857,0.7436012960331483,0.6989849492474624
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.8,0.9,1341,0.8431242660388051,0.7695749440715883
seed42_round100_task_vs_daps_1000.json,A,partner_after,0.00791368469945642,0.9,1.0,740,0.946046758584074,0.8283783783783784
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.0,0.1,244390,0.016335590199000976,0.02535291951389173
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.1,0.2,56596,0.15135592590846084,0.17923528164534597
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.2,0.30000000000000004,78196,0.2535711258771404,0.273210905928692
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.30000000000000004,0.4,82559,0.3423604588470977,0.3393573081069296
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.4,0.5,22145,0.4396661912649365,0.40677353804470534
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.5,0.6000000000000001,7647,0.5421766819822347,0.5055577350595004
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.6000000000000001,0.7000000000000001,3163,0.642815943820319,0.6133417641479608
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.7000000000000001,0.8,1321,0.7434218080543732,0.6593489780469342
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.8,0.9,755,0.8478136963402199,0.7086092715231788
seed42_round100_task_vs_daps_1000.json,A,opponent_before,0.014019603585590356,0.9,1.0,604,0.9451996513352489,0.7963576158940397
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.0,0.1,246546,0.014660417068474499,0.0177654474215765
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.1,0.2,52611,0.15163830697926764,0.1640721522115147
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.2,0.30000000000000004,73463,0.25391411100015415,0.26017178715816125
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.30000000000000004,0.4,77747,0.34346979657852383,0.3423926325131516
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.4,0.5,26626,0.4414478250142823,0.4290167505445805
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.5,0.6000000000000001,11053,0.5432852429684866,0.5356011942459061
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.6000000000000001,0.7000000000000001,4943,0.6430954201945452,0.6364555937689662
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.7000000000000001,0.8,2365,0.7436289964216204,0.6824524312896406
